"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M01","27494.41241364649","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M02","28836.07337770116","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M03","31617.98376839566","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M04","33832.50857762433","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M05","34798.15780168907","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M06","34987.67671087014","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M07","35184.13280954299","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M08","37080.552287558","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M09","37623.90652581976","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M10","37611.62129139064","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M11","37598.59785558603","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2016-M12","36527.29104433068","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M01","37936.95522339142","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M02","37682.33339175831","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M03","37828.53525643078","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M04","38659.580079821","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M05","38484.34217332802","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M06","39195.26506776753","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M07","39529.64548734856","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M08","39991.853313805","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M09","41356.42812659172","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M10","42670.67984726852","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M11","43870.87345715883","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2017-M12","49075.56781245861","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M01","53101.23259589325","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M02","55934.78710216782","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M03","56264.55926457717","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M04","56270.91684460295","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M05","56706.94920115032","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M06","57761.45074627118","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M07","57821.92908751059","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M08","57285.69035323398","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M09","57006.10944093694","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M10","55138.41667651201","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M11","55060.05540171631","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2018-M12","55452.62258256086","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M01","59375.27023097503","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M02","60682.4619582844","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M03","62375.80413504347","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M04","64260.71645977279","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M05","63555.83345961509","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M06","64279.67338857107","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M07","64744.53199028405","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M08","66726.62818504871","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M09","69186.74507826059","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M10","70510.86511273757","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M11","73827.95854802062","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2019-M12","78334.83518260903","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M01","81525.20761068624","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M02","81120.28807868352","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M03","81678.94518697054","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M04","81790.78242041733","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M05","83221.69047448525","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M06","83746.60584601839","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M07","84508.82645687316","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M08","88182.12076060815","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M09","88739.90971932966","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M10","90440.72236771523","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M11","92938.70642040457","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2020-M12","94833.61615045044","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M01","97421.76341919551","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M02","98106.09805370209","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M03","98311.01550827437","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M04","100835.1136196213","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M05","101660.1022321551","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M06","100215.8648435071","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M07","102278.7131232658","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M08","106934.8391594896","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M09","107178.5683221469","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M10","107382.3088621476","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M11","109965.3748691657","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2021-M12","109371.3534428329","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M01","111568.874987982","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M02","110903.7453679371","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M03","108240.2344502198","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M04","107296.0545483142","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M05","104752.3834376877","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M06","103261.7626130739","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M07","100436.658451866","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M08","93902.00543436278","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M09","87583.78003826842","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M10","85888.51410377994","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M11","85299.13159101069","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2022-M12","86539.53096664506","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M01","88271.11104244709","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M02","87644.67047789765","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M03","88211.95029377145","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M04","90023.80824309726","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M05","89541.72688709652","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M06","91107.92974917469","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M07","89110.81366954637","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M08","89552.90993399502","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M09","89474.92749404973","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M10","89044.70882321711","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M11","89956.75536088701","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2023-M12","92237.54081224676","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M01","89983.87302947689","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M02","90199.71673620893","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M03","90955.5640793688","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M04","90095.55316450658","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M05","86001.84873006419","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M06","84723.08249545877","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M07","83083.52375435888","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M08","83920.94390084675","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M09","84286.27787518938","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M10","84375.87704505052","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M11","83920.56085766692","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2024-M12","83081.8549281161","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M01","80853.01178107732","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M02","81345.67673848732","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M03","82553.09706196238","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M04","82038.34396929215","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M05","81694.06932224269","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M06","83067.01894751305","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M07","82220.2346220883","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M08","82770.34525869396","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M09","84173.01304612364","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M10","82210.46805168149","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M11","83341.4234189683","Millions"
"Vietnam","Reserves excluding gold","US dollar","Monthly","2025-M12","85580.36798096939","Millions"
